DISTRICT_ASSIGNED,OpenYear,OpenQuarter,OpenMonthNum,StatusCurrent,TotalCases,Cases_NoInspection,Cases_Habitability,Cases_Retaliation,Cases_Retaliation_DuringMoratorium,Cases_WithNOV
1.0,2011,Q1,2,Closed,1,0,0,0,0,0
1.0,2011,Q1,2,Completed,90,2,13,1,0,0
1.0,2011,Q1,3,Completed,102,6,14,0,0,0
1.0,2011,Q2,4,Closed,2,0,0,0,0,0
1.0,2011,Q2,4,Completed,106,7,17,0,0,0
1.0,2011,Q2,4,Initiated,1,1,1,0,0,0
1.0,2011,Q2,5,Closed,1,0,1,0,0,0
1.0,2011,Q2,5,Completed,104,17,10,0,0,0
1.0,2011,Q2,6,Completed,151,32,14,2,0,0
1.0,2011,Q3,7,Closed,1,0,0,0,0,0
1.0,2011,Q3,7,Completed,149,39,5,0,0,0
1.0,2011,Q3,8,Completed,130,31,7,0,0,0
1.0,2011,Q3,8,NOV Issued,3,3,0,0,0,0
1.0,2011,Q3,9,Completed,105,13,9,0,0,0
1.0,2011,Q3,9,NOV Issued,2,2,0,0,0,0
1.0,2011,Q3,9,Withdrawn,1,1,1,0,0,0
1.0,2011,Q4,10,Closed,2,0,0,0,0,0
1.0,2011,Q4,10,Completed,116,5,14,1,0,0
1.0,2011,Q4,11,Completed,71,1,7,0,0,0
1.0,2011,Q4,12,Completed,57,4,6,0,0,0
1.0,2012,Q1,1,Completed,73,14,6,0,0,0
1.0,2012,Q1,2,Completed,94,12,13,0,0,0
1.0,2012,Q1,3,Closed,1,0,0,0,0,0
1.0,2012,Q1,3,Completed,119,13,19,0,0,0
1.0,2012,Q2,4,Completed,116,4,17,3,0,0
1.0,2012,Q2,5,Closed,1,0,0,0,0,0
1.0,2012,Q2,5,Completed,100,24,10,0,0,0
1.0,2012,Q2,6,Completed,147,25,16,0,0,0
1.0,2012,Q3,7,Completed,115,20,4,0,0,0
1.0,2012,Q3,7,NOV Issued,1,1,0,0,0,0
1.0,2012,Q3,8,Completed,124,12,12,0,0,0
1.0,2012,Q3,8,NOV Issued,1,1,0,0,0,0
1.0,2012,Q3,9,Completed,150,46,17,1,0,0
1.0,2012,Q4,10,Closed,1,0,0,0,0,0
1.0,2012,Q4,10,Completed,145,19,13,2,0,0
1.0,2012,Q4,11,Completed,82,6,10,0,0,0
1.0,2012,Q4,11,Initiated,1,1,1,0,0,0
1.0,2012,Q4,12,Closed,1,0,1,0,0,0
1.0,2012,Q4,12,Completed,93,16,16,0,0,0
1.0,2012,Q4,12,NOV Issued,3,3,0,0,0,0
1.0,2013,Q1,1,Citation Issued,1,0,0,0,0,0
1.0,2013,Q1,1,Closed,1,0,0,0,0,0
1.0,2013,Q1,1,Completed,108,17,19,1,0,0
1.0,2013,Q1,2,Completed,85,8,18,0,0,0
1.0,2013,Q1,3,Completed,99,7,14,0,0,0
1.0,2013,Q2,4,Closed,1,0,0,0,0,0
1.0,2013,Q2,4,Completed,89,11,7,1,0,0
1.0,2013,Q2,4,NOV Issued,3,3,0,0,0,0
1.0,2013,Q2,5,Closed,2,1,0,0,0,0
1.0,2013,Q2,5,Completed,112,10,12,0,0,0
1.0,2013,Q2,5,NOV Issued,1,1,0,0,0,0
1.0,2013,Q2,5,Referred to Law,1,1,0,0,0,0
1.0,2013,Q2,6,Completed,138,29,11,0,0,0
1.0,2013,Q3,7,Completed,108,13,13,0,0,0
1.0,2013,Q3,8,Closed,1,0,0,0,0,0
1.0,2013,Q3,8,Completed,150,10,24,3,0,0
1.0,2013,Q3,8,Referred to Law,1,0,0,0,0,0
1.0,2013,Q3,9,Completed,116,21,21,3,0,0
1.0,2013,Q4,10,Closed,1,0,0,0,0,0
1.0,2013,Q4,10,Completed,102,15,8,0,0,0
1.0,2013,Q4,11,Completed,59,11,10,0,0,0
1.0,2013,Q4,11,NOV Issued,1,0,0,0,0,0
1.0,2013,Q4,12,Completed,90,12,27,2,0,0
1.0,2014,Q1,1,Closed,1,1,0,0,0,0
1.0,2014,Q1,1,Completed,69,3,11,3,0,0
1.0,2014,Q1,2,Closed,1,0,1,0,0,0
1.0,2014,Q1,2,Completed,80,6,11,0,0,0
1.0,2014,Q1,3,Closed,1,0,0,0,0,0
1.0,2014,Q1,3,Completed,137,24,15,0,0,0
1.0,2014,Q2,4,Citation Issued,1,1,0,0,0,0
1.0,2014,Q2,4,Completed,117,11,10,0,0,0
1.0,2014,Q2,5,Completed,134,28,13,0,0,0
1.0,2014,Q2,5,NOV Issued,1,1,1,0,0,0
1.0,2014,Q2,6,Completed,137,23,11,0,0,0
1.0,2014,Q3,7,Closed,1,0,0,1,0,0
1.0,2014,Q3,7,Completed,155,22,10,1,0,0
1.0,2014,Q3,7,Referred to Law,1,1,0,0,0,0
1.0,2014,Q3,8,Completed,168,50,14,1,0,0
1.0,2014,Q3,9,Closed,1,1,0,0,0,0
1.0,2014,Q3,9,Completed,147,41,11,0,0,0
1.0,2014,Q3,9,Referred to Law,1,0,0,0,0,0
1.0,2014,Q4,10,Completed,147,20,29,1,0,0
1.0,2014,Q4,10,Hazard Correction Order Issued,1,1,0,0,0,0
1.0,2014,Q4,10,Initiated,2,2,0,0,0,0
1.0,2014,Q4,11,Completed,70,4,14,0,0,0
1.0,2014,Q4,11,NOV Issued,2,2,1,0,0,0
1.0,2014,Q4,12,Closed,2,2,0,0,0,0
1.0,2014,Q4,12,Completed,103,19,14,0,0,0
1.0,2014,Q4,12,NOV Issued,2,2,0,0,0,0
1.0,2014,Q4,12,Referred to Law,1,1,0,0,0,0
1.0,2015,Q1,1,Completed,105,11,11,0,0,0
1.0,2015,Q1,1,NOV Issued,1,1,0,0,0,0
1.0,2015,Q1,2,Closed,2,0,0,0,0,0
1.0,2015,Q1,2,Completed,135,6,24,0,0,0
1.0,2015,Q1,3,Completed,130,12,17,0,0,0
1.0,2015,Q1,3,NOV Issued,1,1,1,0,0,0
1.0,2015,Q2,4,Completed,141,22,13,0,0,0
1.0,2015,Q2,4,Initiated,3,3,0,0,0,0
1.0,2015,Q2,4,NOV Issued,1,1,0,0,0,0
1.0,2015,Q2,4,Referred to Law,2,1,0,0,0,0
1.0,2015,Q2,5,Closed,1,0,0,0,0,0
1.0,2015,Q2,5,Completed,219,52,14,1,0,0
1.0,2015,Q2,5,Initiated,1,1,0,0,0,0
1.0,2015,Q2,5,NOV Issued,3,3,1,0,0,0
1.0,2015,Q2,6,Closed,1,0,0,0,0,0
1.0,2015,Q2,6,Completed,175,43,14,2,0,0
1.0,2015,Q2,6,Initiated,2,2,1,0,0,0
1.0,2015,Q2,6,Referred to Law,1,1,0,0,0,0
1.0,2015,Q2,6,Reviews Completed,1,1,1,0,0,0
1.0,2015,Q2,6,Warning,1,1,0,0,0,0
1.0,2015,Q3,7,Completed,202,51,15,0,0,0
1.0,2015,Q3,7,NOV Issued,2,2,0,0,0,0
1.0,2015,Q3,7,Referred to Law,3,3,0,0,0,0
1.0,2015,Q3,7,Stop Work Issued,1,1,0,0,0,0
1.0,2015,Q3,8,Closed,2,0,0,0,0,0
1.0,2015,Q3,8,Completed,185,40,10,0,0,0
1.0,2015,Q3,8,Initiated,1,1,0,0,0,0
1.0,2015,Q3,8,Referred to Law,2,2,0,0,0,0
1.0,2015,Q3,9,Completed,196,21,10,0,0,0
1.0,2015,Q3,9,Initiated,1,1,0,0,0,0
1.0,2015,Q3,9,NOV Issued,1,1,0,0,0,0
1.0,2015,Q3,9,Referred to Law,1,1,0,0,0,0
1.0,2015,Q4,10,Closed,3,1,0,0,0,0
1.0,2015,Q4,10,Completed,173,28,23,2,0,0
1.0,2015,Q4,10,Initiated,1,1,0,0,0,0
1.0,2015,Q4,10,NOV Issued,2,2,0,0,0,0
1.0,2015,Q4,10,Referred to Law,1,1,0,0,0,0
1.0,2015,Q4,11,Completed,99,11,16,0,0,0
1.0,2015,Q4,11,Initiated,2,2,0,0,0,0
1.0,2015,Q4,11,NOV Issued,1,1,0,0,0,0
1.0,2015,Q4,11,Referred to Law,1,1,0,0,0,0
1.0,2015,Q4,12,Closed,3,2,0,0,0,0
1.0,2015,Q4,12,Completed,176,15,19,0,0,0
1.0,2015,Q4,12,NOV Issued,1,1,0,0,0,0
1.0,2015,Q4,12,Referred to Law,1,1,0,0,0,0
1.0,2015,Q4,12,Stop Work Issued,1,0,0,0,0,0
1.0,2016,Q1,1,Closed,3,3,0,0,0,0
1.0,2016,Q1,1,Completed,165,20,12,3,0,0
1.0,2016,Q1,1,Initiated,1,1,0,0,0,0
1.0,2016,Q1,2,Closed,3,1,1,0,0,0
1.0,2016,Q1,2,Completed,140,6,11,0,0,0
1.0,2016,Q1,2,Initiated,2,1,2,0,0,0
1.0,2016,Q1,2,NOV Issued,1,1,1,0,0,0
1.0,2016,Q1,3,Citation Issued,1,1,0,0,0,0
1.0,2016,Q1,3,Completed,175,19,20,2,0,0
1.0,2016,Q1,3,Initiated,1,1,0,0,0,0
1.0,2016,Q1,3,NOV Issued,2,2,1,0,0,0
1.0,2016,Q1,3,Referred to Law,1,1,0,0,0,0
1.0,2016,Q2,4,Citation Issued,1,1,0,0,0,0
1.0,2016,Q2,4,Closed,3,2,0,0,0,0
1.0,2016,Q2,4,Completed,198,15,12,0,0,0
1.0,2016,Q2,4,NOV Issued,1,1,0,0,0,0
1.0,2016,Q2,4,Stop Work Issued,1,1,0,0,0,0
1.0,2016,Q2,4,Under Investigation,1,1,0,0,0,0
1.0,2016,Q2,5,Citation Issued,2,1,0,0,0,0
1.0,2016,Q2,5,Closed,4,4,0,0,0,0
1.0,2016,Q2,5,Completed,189,49,21,0,0,0
1.0,2016,Q2,5,Initiated,1,1,0,0,0,0
1.0,2016,Q2,6,Closed,1,1,0,0,0,0
1.0,2016,Q2,6,Completed,203,77,15,0,0,0
1.0,2016,Q2,6,NOV Issued,2,2,1,0,0,0
1.0,2016,Q2,6,Referred to Law,1,1,0,0,0,0
1.0,2016,Q2,6,Reviews Completed,1,1,1,0,0,0
1.0,2016,Q3,7,Closed,2,1,0,0,0,0
1.0,2016,Q3,7,Completed,159,40,10,1,0,0
1.0,2016,Q3,7,Initiated,1,1,1,0,0,0
1.0,2016,Q3,8,Citation Issued,1,1,0,0,0,0
1.0,2016,Q3,8,Closed,2,2,0,0,0,0
1.0,2016,Q3,8,Completed,180,44,13,3,0,0
1.0,2016,Q3,8,Initiated,1,1,1,0,0,0
1.0,2016,Q3,8,NOV Issued,1,1,0,0,0,0
1.0,2016,Q3,8,Referred to Law,1,1,0,0,0,0
1.0,2016,Q3,8,Under Investigation,1,0,0,0,0,0
1.0,2016,Q3,9,Closed,8,4,0,0,0,0
1.0,2016,Q3,9,Completed,140,34,14,0,0,0
1.0,2016,Q3,9,NOV Issued,1,1,1,0,0,0
1.0,2016,Q3,9,Referred to Law,1,0,0,0,0,0
1.0,2016,Q4,10,Completed,168,36,21,1,0,0
1.0,2016,Q4,10,Initiated,1,1,0,0,0,0
1.0,2016,Q4,10,NOV Issued,1,1,0,0,0,0
1.0,2016,Q4,10,Referred to Law,1,0,0,0,0,0
1.0,2016,Q4,11,Closed,5,4,2,0,0,0
1.0,2016,Q4,11,Completed,98,20,21,1,0,0
1.0,2016,Q4,11,Initiated,1,1,1,0,0,0
1.0,2016,Q4,11,Stop Work Issued,1,1,0,0,0,0
1.0,2016,Q4,11,Warning,1,1,0,0,0,0
1.0,2016,Q4,12,Citation Issued,1,1,0,0,0,0
1.0,2016,Q4,12,Closed,1,1,0,0,0,0
1.0,2016,Q4,12,Completed,121,22,20,0,0,0
1.0,2016,Q4,12,Initiated,2,2,0,0,0,0
1.0,2016,Q4,12,NOV Issued,2,2,0,0,0,0
1.0,2017,Q1,1,Closed,1,0,0,0,0,0
1.0,2017,Q1,1,Completed,134,13,15,0,0,0
1.0,2017,Q1,1,Referred to Law,2,0,1,0,0,0
1.0,2017,Q1,2,Closed,3,2,2,0,0,0
1.0,2017,Q1,2,Completed,106,23,22,2,0,0
1.0,2017,Q1,2,Initiated,1,1,0,0,0,0
1.0,2017,Q1,2,NOV Issued,3,3,2,0,0,0
1.0,2017,Q1,2,Referred to Law,7,7,0,0,0,0
1.0,2017,Q1,2,Stop Work Issued,1,1,0,0,0,0
1.0,2017,Q1,3,Citation Issued,1,1,0,0,0,0
1.0,2017,Q1,3,Closed,2,1,0,0,0,0
1.0,2017,Q1,3,Completed,138,21,27,2,0,0
1.0,2017,Q1,3,Initiated,3,3,0,0,0,0
1.0,2017,Q1,3,NOV Issued,3,3,2,0,0,0
1.0,2017,Q1,3,Referred to Law,4,4,0,0,0,0
1.0,2017,Q1,3,Warning,1,1,0,0,0,0
1.0,2017,Q2,4,Citation Issued,1,1,0,0,0,0
1.0,2017,Q2,4,Completed,135,23,23,4,0,0
1.0,2017,Q2,4,NOV Issued,1,1,0,0,0,0
1.0,2017,Q2,5,Closed,5,5,0,0,0,0
1.0,2017,Q2,5,Completed,165,34,26,2,0,0
1.0,2017,Q2,5,Initiated,1,1,0,0,0,0
1.0,2017,Q2,5,NOV Issued,1,1,1,0,0,0
1.0,2017,Q2,5,Referred to Law,5,5,0,0,0,0
1.0,2017,Q2,6,Closed,2,2,0,0,0,0
1.0,2017,Q2,6,Completed,195,55,20,2,0,0
1.0,2017,Q2,6,NOV Issued,3,3,2,0,0,0
1.0,2017,Q2,6,Referred to Law,1,0,1,0,0,0
1.0,2017,Q3,7,Closed,8,5,0,0,0,0
1.0,2017,Q3,7,Completed,233,62,23,3,0,0
1.0,2017,Q3,7,NOV Issued,2,2,0,0,0,0
1.0,2017,Q3,7,Warning,1,1,0,0,0,0
1.0,2017,Q3,8,Closed,5,4,3,0,0,0
1.0,2017,Q3,8,Completed,243,52,29,2,0,0
1.0,2017,Q3,8,Initiated,1,1,0,0,0,0
1.0,2017,Q3,8,NOV Issued,1,1,0,0,0,0
1.0,2017,Q3,8,Referred to Law,3,3,0,0,0,0
1.0,2017,Q3,8,Warning,1,1,1,0,0,0
1.0,2017,Q3,9,Citation Issued,1,0,0,0,0,0
1.0,2017,Q3,9,Closed,5,4,1,0,0,0
1.0,2017,Q3,9,Completed,196,48,23,2,0,0
1.0,2017,Q3,9,Initiated,1,1,0,0,0,0
1.0,2017,Q3,9,NOV Issued,1,0,0,0,0,0
1.0,2017,Q3,9,Warning,2,2,1,0,0,0
1.0,2017,Q4,10,Citation Issued,2,2,0,0,0,0
1.0,2017,Q4,10,Closed,1,0,0,0,0,0
1.0,2017,Q4,10,Completed,170,24,29,6,0,0
1.0,2017,Q4,10,Initiated,2,2,0,0,0,0
1.0,2017,Q4,10,NOV Issued,1,1,0,0,0,0
1.0,2017,Q4,10,Referred to Law,1,1,0,0,0,0
1.0,2017,Q4,10,Reviews Completed,1,1,1,0,0,0
1.0,2017,Q4,10,Warning,1,0,0,0,0,0
1.0,2017,Q4,11,Citation Issued,1,1,0,0,0,0
1.0,2017,Q4,11,Closed,5,5,1,0,0,0
1.0,2017,Q4,11,Completed,113,17,14,1,0,0
1.0,2017,Q4,11,Initiated,1,1,0,0,0,0
1.0,2017,Q4,11,NOV Issued,2,2,1,0,0,0
1.0,2017,Q4,11,Reviews Completed,1,1,1,0,0,0
1.0,2017,Q4,12,Citation Issued,1,1,0,0,0,0
1.0,2017,Q4,12,Closed,6,6,0,0,0,0
1.0,2017,Q4,12,Completed,105,22,20,3,0,0
1.0,2017,Q4,12,Initiated,1,1,0,0,0,0
1.0,2017,Q4,12,NOV Issued,2,1,0,0,0,0
1.0,2018,Q1,1,Citation Issued,1,1,0,0,0,0
1.0,2018,Q1,1,Closed,7,7,1,0,0,0
1.0,2018,Q1,1,Completed,118,39,30,3,0,0
1.0,2018,Q1,1,NOV Issued,2,2,2,0,0,0
1.0,2018,Q1,1,Warning,1,1,0,0,0,0
1.0,2018,Q1,2,Closed,6,5,1,0,0,0
1.0,2018,Q1,2,Completed,171,47,46,6,0,0
1.0,2018,Q1,2,Initiated,2,2,0,0,0,0
1.0,2018,Q1,2,NOV Issued,2,2,1,0,0,0
1.0,2018,Q1,2,Referred to Law,2,1,0,0,0,0
1.0,2018,Q1,2,Warning,1,1,0,0,0,0
1.0,2018,Q1,3,Citation Issued,1,0,0,0,0,0
1.0,2018,Q1,3,Closed,9,8,4,0,0,0
1.0,2018,Q1,3,Completed,214,58,40,2,0,0
1.0,2018,Q1,3,Compliance Achieved,1,0,1,0,0,0
1.0,2018,Q1,3,Initiated,1,1,0,0,0,0
1.0,2018,Q1,3,NOV Issued,4,4,0,0,0,0
1.0,2018,Q2,4,Closed,23,18,6,0,0,0
1.0,2018,Q2,4,Completed,145,69,27,3,0,0
1.0,2018,Q2,4,NOV Issued,4,4,2,0,0,0
1.0,2018,Q2,4,Referred to Law,1,0,0,0,0,0
1.0,2018,Q2,4,Stop Work Issued,1,1,0,0,0,0
1.0,2018,Q2,4,Warning,1,0,0,0,0,0
1.0,2018,Q2,5,Citation Issued,1,1,1,0,0,0
1.0,2018,Q2,5,Closed,39,36,14,1,0,0
1.0,2018,Q2,5,Completed,135,70,42,1,0,0
1.0,2018,Q2,5,Initiated,1,1,0,0,0,0
1.0,2018,Q2,5,Referred to Law,1,0,0,0,0,0
1.0,2018,Q2,6,Citation Issued,1,0,0,0,0,0
1.0,2018,Q2,6,Closed,29,25,8,0,0,0
1.0,2018,Q2,6,Completed,144,100,20,4,0,0
1.0,2018,Q2,6,Compliance Achieved,2,1,0,0,0,0
1.0,2018,Q2,6,EO Vacate Close Issued,1,1,1,0,0,0
1.0,2018,Q2,6,Initiated,1,0,0,0,0,0
1.0,2018,Q2,6,NOV Issued,1,1,0,0,0,0
1.0,2018,Q2,6,Under Investigation,1,1,1,0,0,0
1.0,2018,Q3,7,Closed,38,34,11,0,0,0
1.0,2018,Q3,7,Completed,153,110,26,3,0,0
1.0,2018,Q3,7,Compliance Achieved,1,1,0,0,0,0
1.0,2018,Q3,7,Initiated,1,0,0,0,0,0
1.0,2018,Q3,7,Referred to Law,1,0,0,0,0,0
1.0,2018,Q3,8,Closed,37,33,11,2,0,0
1.0,2018,Q3,8,Completed,128,88,20,2,0,0
1.0,2018,Q3,8,Hazard Correction Order Issued,1,0,0,0,0,0
1.0,2018,Q3,8,NOV Issued,1,0,0,0,0,0
1.0,2018,Q3,8,Under Investigation,1,1,0,0,0,0
1.0,2018,Q3,9,Closed,33,26,6,0,0,0
1.0,2018,Q3,9,Completed,152,93,26,2,0,0
1.0,2018,Q3,9,Initiated,1,1,0,0,0,0
1.0,2018,Q3,9,Issued,1,1,1,0,0,0
1.0,2018,Q4,10,Closed,37,32,11,0,0,0
1.0,2018,Q4,10,Completed,144,75,25,1,0,0
1.0,2018,Q4,10,Initiated,1,0,0,0,0,0
1.0,2018,Q4,10,NOV Issued,1,1,0,0,0,0
1.0,2018,Q4,10,Under Investigation,1,1,1,0,0,0
1.0,2018,Q4,11,Closed,22,17,7,0,0,0
1.0,2018,Q4,11,Completed,82,52,15,2,0,0
1.0,2018,Q4,11,NOV Issued,1,0,1,0,0,0
1.0,2018,Q4,11,Under Investigation,1,0,1,0,0,0
1.0,2018,Q4,12,Closed,19,18,3,0,0,0
1.0,2018,Q4,12,Completed,80,45,16,1,0,0
1.0,2018,Q4,12,Initiated,1,1,0,0,0,0
1.0,2018,Q4,12,Under Investigation,1,1,0,0,0,0
1.0,2019,Q1,1,Citation Issued,1,0,0,0,0,0
1.0,2019,Q1,1,Closed,30,26,9,1,0,0
1.0,2019,Q1,1,Completed,107,55,24,0,0,0
1.0,2019,Q1,1,Initiated,1,0,1,0,0,0
1.0,2019,Q1,2,Citation Issued,1,0,0,0,0,0
1.0,2019,Q1,2,Closed,24,22,12,0,0,0
1.0,2019,Q1,2,Completed,83,40,20,1,0,0
1.0,2019,Q1,2,Compliance Achieved,1,0,0,0,0,0
1.0,2019,Q1,2,Under Investigation,2,0,1,0,0,0
1.0,2019,Q1,3,Closed,28,27,13,1,0,0
1.0,2019,Q1,3,Completed,116,74,22,0,0,0
1.0,2019,Q1,3,Initiated,2,0,0,0,0,0
1.0,2019,Q1,3,NOV Issued,2,1,1,0,0,0
1.0,2019,Q1,3,Under Investigation,1,1,1,0,0,0
1.0,2019,Q2,4,Citation Issued,1,0,0,0,0,0
1.0,2019,Q2,4,Closed,36,34,22,1,0,0
1.0,2019,Q2,4,Completed,127,64,30,1,0,0
1.0,2019,Q2,4,Initiated,1,0,0,0,0,0
1.0,2019,Q2,4,NOV Issued,2,0,1,0,0,0
