DISTRICT_ASSIGNED,LastInspYear,LastInspQuarter,LastInspMonthNum,StatusCurrent,TotalCases,Cases_NoInspection,Cases_Habitability,Cases_Retaliation,Cases_Retaliation_DuringMoratorium,Cases_WithNOV
1.0,2007.0,Q3,9.0,Completed,123,0,13,2,0,0
1.0,2007.0,Q4,10.0,Completed,119,0,10,0,0,0
1.0,2007.0,Q4,11.0,Completed,128,0,7,1,0,0
1.0,2007.0,Q4,12.0,Completed,109,0,13,1,0,0
1.0,2008.0,Q1,1.0,Completed,111,0,13,0,0,0
1.0,2008.0,Q1,2.0,Completed,90,0,8,0,0,0
1.0,2008.0,Q1,3.0,Completed,121,0,7,0,0,0
1.0,2008.0,Q2,4.0,Completed,129,0,12,0,0,0
1.0,2008.0,Q2,5.0,Completed,139,0,9,0,0,0
1.0,2008.0,Q2,6.0,Completed,197,0,15,0,0,0
1.0,2008.0,Q3,7.0,Completed,219,0,11,0,0,0
1.0,2008.0,Q3,8.0,Closed,1,0,0,0,0,0
1.0,2008.0,Q3,8.0,Completed,224,0,5,0,0,0
1.0,2008.0,Q3,9.0,Completed,183,0,15,0,0,0
1.0,2008.0,Q4,10.0,Completed,151,0,17,0,0,0
1.0,2008.0,Q4,11.0,Completed,94,0,11,0,0,0
1.0,2008.0,Q4,12.0,Completed,85,0,7,0,0,0
1.0,2009.0,Q1,1.0,Completed,91,0,7,1,0,0
1.0,2009.0,Q1,2.0,Completed,107,0,12,0,0,0
1.0,2009.0,Q1,2.0,NOV Issued,1,0,1,0,0,0
1.0,2009.0,Q1,3.0,Completed,137,0,11,1,0,0
1.0,2009.0,Q2,4.0,Completed,138,0,6,0,0,0
1.0,2009.0,Q2,5.0,Completed,140,0,8,0,0,0
1.0,2009.0,Q2,6.0,Completed,200,0,11,0,0,0
1.0,2009.0,Q3,7.0,Completed,152,0,8,1,0,0
1.0,2009.0,Q3,7.0,NOV Issued,1,0,0,0,0,0
1.0,2009.0,Q3,8.0,Closed,1,0,0,0,0,0
1.0,2009.0,Q3,8.0,Completed,152,0,9,2,0,0
1.0,2009.0,Q3,9.0,Completed,148,0,11,0,0,0
1.0,2009.0,Q4,10.0,Completed,152,0,9,1,0,0
1.0,2009.0,Q4,11.0,Completed,110,0,7,0,0,0
1.0,2009.0,Q4,12.0,Completed,131,0,14,0,0,0
1.0,2010.0,Q1,1.0,Completed,91,0,9,1,0,0
1.0,2010.0,Q1,2.0,Completed,106,0,6,1,0,0
1.0,2010.0,Q1,3.0,Completed,111,0,8,0,0,0
1.0,2010.0,Q2,4.0,Completed,139,0,6,0,0,0
1.0,2010.0,Q2,5.0,Completed,137,0,8,0,0,0
1.0,2010.0,Q2,6.0,Completed,179,0,9,2,0,0
1.0,2010.0,Q3,7.0,Completed,160,0,8,1,0,0
1.0,2010.0,Q3,8.0,Completed,155,0,10,0,0,0
1.0,2010.0,Q3,9.0,Completed,134,0,14,1,0,0
1.0,2010.0,Q4,10.0,Completed,134,0,11,0,0,0
1.0,2010.0,Q4,11.0,Completed,88,0,12,1,0,0
1.0,2010.0,Q4,12.0,Completed,76,0,8,1,0,0
1.0,2011.0,Q1,1.0,Completed,82,0,8,0,0,0
1.0,2011.0,Q1,2.0,Closed,1,0,0,0,0,0
1.0,2011.0,Q1,2.0,Completed,85,0,12,1,0,0
1.0,2011.0,Q1,3.0,Completed,86,0,14,1,0,0
1.0,2011.0,Q2,4.0,Closed,1,0,0,0,0,0
1.0,2011.0,Q2,4.0,Completed,96,0,12,0,0,0
1.0,2011.0,Q2,5.0,Completed,94,0,11,0,0,0
1.0,2011.0,Q2,6.0,Closed,2,0,1,0,0,0
1.0,2011.0,Q2,6.0,Completed,95,0,5,1,0,0
1.0,2011.0,Q3,7.0,Closed,1,0,0,0,0,0
1.0,2011.0,Q3,7.0,Completed,112,0,7,0,0,0
1.0,2011.0,Q3,8.0,Completed,102,0,6,1,0,0
1.0,2011.0,Q3,9.0,Completed,94,0,11,0,0,0
1.0,2011.0,Q4,10.0,Closed,1,0,0,0,0,0
1.0,2011.0,Q4,10.0,Completed,94,0,13,1,0,0
1.0,2011.0,Q4,11.0,Closed,1,0,0,0,0,0
1.0,2011.0,Q4,11.0,Completed,86,0,6,0,0,0
1.0,2011.0,Q4,12.0,Completed,66,0,8,0,0,0
1.0,2012.0,Q1,1.0,Completed,57,0,3,0,0,0
1.0,2012.0,Q1,2.0,Completed,72,0,12,0,0,0
1.0,2012.0,Q1,3.0,Completed,103,0,16,0,0,0
1.0,2012.0,Q2,4.0,Closed,1,0,0,0,0,0
1.0,2012.0,Q2,4.0,Completed,109,0,15,1,0,0
1.0,2012.0,Q2,5.0,Completed,88,0,12,2,0,0
1.0,2012.0,Q2,6.0,Closed,1,0,0,0,0,0
1.0,2012.0,Q2,6.0,Completed,93,0,12,0,0,0
1.0,2012.0,Q3,7.0,Completed,81,0,5,0,0,0
1.0,2012.0,Q3,8.0,Completed,107,0,10,0,0,0
1.0,2012.0,Q3,9.0,Completed,112,0,9,1,0,0
1.0,2012.0,Q4,10.0,Closed,1,0,0,0,0,0
1.0,2012.0,Q4,10.0,Completed,113,0,10,1,0,0
1.0,2012.0,Q4,11.0,Completed,73,0,8,0,0,0
1.0,2012.0,Q4,12.0,Closed,1,0,1,0,0,0
1.0,2012.0,Q4,12.0,Completed,87,0,12,0,0,0
1.0,2013.0,Q1,1.0,Closed,1,0,0,0,0,0
1.0,2013.0,Q1,1.0,Completed,92,0,21,1,0,0
1.0,2013.0,Q1,2.0,Completed,69,0,16,0,0,0
1.0,2013.0,Q1,3.0,Completed,92,0,12,1,0,0
1.0,2013.0,Q2,4.0,Closed,1,0,0,0,0,0
1.0,2013.0,Q2,4.0,Completed,75,0,13,0,0,0
1.0,2013.0,Q2,4.0,Initiated,1,0,1,0,0,0
1.0,2013.0,Q2,5.0,Completed,90,0,10,1,0,0
1.0,2013.0,Q2,6.0,Closed,1,0,0,0,0,0
1.0,2013.0,Q2,6.0,Completed,107,0,14,0,0,0
1.0,2013.0,Q3,7.0,Completed,77,0,10,0,0,0
1.0,2013.0,Q3,8.0,Closed,1,0,0,0,0,0
1.0,2013.0,Q3,8.0,Completed,114,0,20,3,0,0
1.0,2013.0,Q3,9.0,Completed,77,0,11,0,0,0
1.0,2013.0,Q4,10.0,Completed,106,0,12,1,0,0
1.0,2013.0,Q4,11.0,Citation Issued,1,0,0,0,0,0
1.0,2013.0,Q4,11.0,Closed,1,0,0,0,0,0
1.0,2013.0,Q4,11.0,Completed,56,0,6,1,0,0
1.0,2013.0,Q4,12.0,Completed,66,0,22,1,0,0
1.0,2014.0,Q1,1.0,Completed,58,0,13,2,0,0
1.0,2014.0,Q1,2.0,Closed,1,0,1,0,0,0
1.0,2014.0,Q1,2.0,Completed,96,0,11,0,0,0
1.0,2014.0,Q1,3.0,Closed,1,0,0,0,0,0
1.0,2014.0,Q1,3.0,Completed,90,0,12,1,0,0
1.0,2014.0,Q2,4.0,Completed,93,0,15,0,0,0
1.0,2014.0,Q2,5.0,Completed,98,0,11,0,0,0
1.0,2014.0,Q2,6.0,Completed,138,0,9,0,0,0
1.0,2014.0,Q2,6.0,NOV Issued,1,0,0,0,0,0
1.0,2014.0,Q3,7.0,Closed,1,0,0,1,0,0
1.0,2014.0,Q3,7.0,Completed,104,0,8,1,0,0
1.0,2014.0,Q3,8.0,Completed,114,0,14,1,0,0
1.0,2014.0,Q3,9.0,Completed,109,0,8,0,0,0
1.0,2014.0,Q4,10.0,Completed,123,0,19,1,0,0
1.0,2014.0,Q4,11.0,Completed,103,0,11,0,0,0
1.0,2014.0,Q4,12.0,Completed,84,0,17,0,0,0
1.0,2015.0,Q1,1.0,Completed,202,0,11,0,0,0
1.0,2015.0,Q1,2.0,Closed,1,0,0,0,0,0
1.0,2015.0,Q1,2.0,Completed,97,0,19,0,0,0
1.0,2015.0,Q1,3.0,Completed,124,0,17,0,0,0
1.0,2015.0,Q2,4.0,Closed,1,0,0,0,0,0
1.0,2015.0,Q2,4.0,Completed,121,0,13,0,0,0
1.0,2015.0,Q2,5.0,Completed,155,0,14,0,0,0
1.0,2015.0,Q2,6.0,Closed,1,0,0,0,0,0
1.0,2015.0,Q2,6.0,Completed,122,0,12,2,0,0
1.0,2015.0,Q3,7.0,Closed,1,0,0,0,0,0
1.0,2015.0,Q3,7.0,Completed,135,0,8,0,0,0
1.0,2015.0,Q3,8.0,Completed,145,0,12,1,0,0
1.0,2015.0,Q3,9.0,Completed,223,0,9,1,0,0
1.0,2015.0,Q4,10.0,Closed,4,0,0,0,0,0
1.0,2015.0,Q4,10.0,Completed,152,0,12,0,0,0
1.0,2015.0,Q4,11.0,Completed,110,0,11,1,0,0
1.0,2015.0,Q4,11.0,Under Investigation,1,0,0,0,0,0
1.0,2015.0,Q4,12.0,Closed,1,0,0,0,0,0
1.0,2015.0,Q4,12.0,Completed,187,0,20,2,0,0
1.0,2016.0,Q1,1.0,Completed,153,0,12,2,0,0
1.0,2016.0,Q1,1.0,Stop Work Issued,1,0,0,0,0,0
1.0,2016.0,Q1,2.0,Closed,2,0,1,0,0,0
1.0,2016.0,Q1,2.0,Completed,117,0,7,0,0,0
1.0,2016.0,Q1,2.0,Initiated,1,0,1,0,0,0
1.0,2016.0,Q1,3.0,Completed,171,0,26,1,0,0
1.0,2016.0,Q2,4.0,Closed,1,0,0,0,0,0
1.0,2016.0,Q2,4.0,Completed,152,0,5,0,0,0
1.0,2016.0,Q2,5.0,Completed,157,0,13,0,0,0
1.0,2016.0,Q2,6.0,Completed,137,0,19,1,0,0
1.0,2016.0,Q3,7.0,Closed,1,0,0,0,0,0
1.0,2016.0,Q3,7.0,Completed,119,0,7,0,0,0
1.0,2016.0,Q3,8.0,Completed,163,0,9,1,0,0
1.0,2016.0,Q3,9.0,Closed,3,0,0,0,0,0
1.0,2016.0,Q3,9.0,Completed,102,0,10,0,0,0
1.0,2016.0,Q4,10.0,Closed,1,0,0,0,0,0
1.0,2016.0,Q4,10.0,Completed,148,0,15,0,0,0
1.0,2016.0,Q4,11.0,Completed,91,0,10,0,0,0
1.0,2016.0,Q4,12.0,Completed,85,0,13,0,0,0
1.0,2016.0,Q4,12.0,Referred to Law,1,0,0,0,0,0
1.0,2017.0,Q1,1.0,Closed,1,0,1,0,0,0
1.0,2017.0,Q1,1.0,Completed,101,0,14,1,0,0
1.0,2017.0,Q1,2.0,Closed,2,0,1,0,0,0
1.0,2017.0,Q1,2.0,Completed,111,0,14,0,0,0
1.0,2017.0,Q1,2.0,Referred to Law,1,0,0,0,0,0
1.0,2017.0,Q1,3.0,Citation Issued,1,0,0,0,0,0
1.0,2017.0,Q1,3.0,Completed,113,0,21,0,0,0
1.0,2017.0,Q2,4.0,Closed,1,0,0,0,0,0
1.0,2017.0,Q2,4.0,Completed,112,0,22,0,0,0
1.0,2017.0,Q2,5.0,Completed,113,0,22,2,0,0
1.0,2017.0,Q2,6.0,Completed,141,0,16,1,0,0
1.0,2017.0,Q3,7.0,Completed,153,0,14,1,0,0
1.0,2017.0,Q3,8.0,Closed,1,0,0,0,0,0
1.0,2017.0,Q3,8.0,Completed,216,0,13,0,0,0
1.0,2017.0,Q3,9.0,Closed,3,0,1,0,0,0
1.0,2017.0,Q3,9.0,Completed,132,0,7,0,0,0
1.0,2017.0,Q4,10.0,Citation Issued,1,0,0,0,0,0
1.0,2017.0,Q4,10.0,Completed,180,0,24,4,0,0
1.0,2017.0,Q4,10.0,Referred to Law,1,0,1,0,0,0
1.0,2017.0,Q4,10.0,Warning,1,0,0,0,0,0
1.0,2017.0,Q4,11.0,Closed,1,0,0,0,0,0
1.0,2017.0,Q4,11.0,Completed,114,0,12,0,0,0
1.0,2017.0,Q4,12.0,Completed,120,0,14,0,0,0
1.0,2017.0,Q4,12.0,NOV Issued,1,0,0,0,0,0
1.0,2017.0,Q4,12.0,Referred to Law,1,0,0,0,0,0
1.0,2018.0,Q1,1.0,Completed,82,0,14,2,0,0
1.0,2018.0,Q1,1.0,NOV Issued,1,0,0,0,0,0
1.0,2018.0,Q1,2.0,Completed,122,0,13,2,0,0
1.0,2018.0,Q1,2.0,Referred to Law,1,0,1,0,0,0
1.0,2018.0,Q1,3.0,Completed,166,0,18,0,0,0
1.0,2018.0,Q1,3.0,Compliance Achieved,1,0,1,0,0,0
1.0,2018.0,Q2,4.0,Closed,3,0,0,0,0,0
1.0,2018.0,Q2,4.0,Completed,106,0,11,0,0,0
1.0,2018.0,Q2,5.0,Closed,4,0,0,0,0,0
1.0,2018.0,Q2,5.0,Completed,74,0,10,0,0,0
1.0,2018.0,Q2,5.0,Referred to Law,2,0,0,0,0,0
1.0,2018.0,Q2,5.0,Warning,1,0,0,0,0,0
1.0,2018.0,Q2,6.0,Citation Issued,1,0,0,0,0,0
1.0,2018.0,Q2,6.0,Closed,5,0,0,1,0,0
1.0,2018.0,Q2,6.0,Completed,54,0,8,0,0,0
1.0,2018.0,Q2,6.0,Initiated,1,0,0,0,0,0
1.0,2018.0,Q3,7.0,Closed,2,0,0,0,0,0
1.0,2018.0,Q3,7.0,Completed,40,0,4,1,0,0
1.0,2018.0,Q3,7.0,Hazard Correction Order Issued,1,0,0,0,0,0
1.0,2018.0,Q3,7.0,Initiated,1,0,0,0,0,0
1.0,2018.0,Q3,8.0,Closed,5,0,0,0,0,0
1.0,2018.0,Q3,8.0,Completed,49,0,5,0,0,0
1.0,2018.0,Q3,8.0,NOV Issued,1,0,0,0,0,0
1.0,2018.0,Q3,8.0,Referred to Law,2,0,0,0,0,0
1.0,2018.0,Q3,9.0,Closed,5,0,1,0,0,0
1.0,2018.0,Q3,9.0,Completed,48,0,8,2,0,0
1.0,2018.0,Q4,10.0,Closed,8,0,0,0,0,0
1.0,2018.0,Q4,10.0,Completed,68,0,4,0,0,0
1.0,2018.0,Q4,10.0,Initiated,1,0,0,0,0,0
1.0,2018.0,Q4,11.0,Closed,6,0,0,0,0,0
1.0,2018.0,Q4,11.0,Completed,44,0,5,0,0,0
1.0,2018.0,Q4,11.0,NOV Issued,1,0,1,0,0,0
1.0,2018.0,Q4,11.0,Under Investigation,2,0,1,0,0,0
1.0,2018.0,Q4,12.0,Closed,1,0,0,0,0,0
1.0,2018.0,Q4,12.0,Completed,35,0,4,0,0,0
1.0,2019.0,Q1,1.0,Citation Issued,2,0,0,0,0,0
1.0,2019.0,Q1,1.0,Closed,2,0,0,0,0,0
1.0,2019.0,Q1,1.0,Completed,49,0,3,1,0,0
1.0,2019.0,Q1,1.0,Initiated,1,0,1,0,0,0
1.0,2019.0,Q1,2.0,Closed,2,0,0,0,0,0
1.0,2019.0,Q1,2.0,Completed,42,0,4,0,0,0
1.0,2019.0,Q1,2.0,Under Investigation,1,0,1,0,0,0
1.0,2019.0,Q1,3.0,Citation Issued,1,0,0,0,0,0
1.0,2019.0,Q1,3.0,Closed,1,0,0,0,0,0
1.0,2019.0,Q1,3.0,Completed,36,0,2,0,0,0
1.0,2019.0,Q1,3.0,Initiated,2,0,0,0,0,0
1.0,2019.0,Q1,3.0,NOV Issued,2,0,0,0,0,0
1.0,2019.0,Q2,4.0,Citation Issued,1,0,0,0,0,0
1.0,2019.0,Q2,4.0,Closed,2,0,0,0,0,0
1.0,2019.0,Q2,4.0,Completed,56,0,3,0,0,0
1.0,2019.0,Q2,4.0,Compliance Achieved,1,0,0,0,0,0
1.0,2019.0,Q2,4.0,Initiated,1,0,0,0,0,0
1.0,2019.0,Q2,4.0,NOV Issued,1,0,0,0,0,0
1.0,2019.0,Q2,4.0,Warning,1,0,0,0,0,0
1.0,2019.0,Q2,5.0,Closed,2,0,0,0,0,0
1.0,2019.0,Q2,5.0,Completed,82,0,5,0,0,0
1.0,2019.0,Q2,5.0,NOV Issued,2,0,1,0,0,0
1.0,2019.0,Q2,6.0,Closed,2,0,0,0,0,0
1.0,2019.0,Q2,6.0,Completed,80,0,4,0,0,0
1.0,2019.0,Q2,6.0,EO Repair Restore Issued,1,0,0,0,0,0
1.0,2019.0,Q2,6.0,Under Investigation,1,0,0,0,0,0
1.0,2019.0,Q3,7.0,Closed,9,0,1,0,0,0
1.0,2019.0,Q3,7.0,Completed,113,0,12,0,0,0
1.0,2019.0,Q3,7.0,NOV Issued,2,0,1,0,0,0
1.0,2019.0,Q3,7.0,Warning,1,0,0,0,0,0
1.0,2019.0,Q3,8.0,Closed,13,0,0,0,0,0
1.0,2019.0,Q3,8.0,Completed,160,0,8,0,0,0
1.0,2019.0,Q3,8.0,Compliance Achieved,1,0,0,0,0,0
1.0,2019.0,Q3,8.0,Initiated,2,0,0,0,0,0
1.0,2019.0,Q3,8.0,NOV Issued,4,0,0,0,0,0
1.0,2019.0,Q3,8.0,Warning,1,0,0,0,0,0
1.0,2019.0,Q3,9.0,Closed,8,0,0,0,0,0
1.0,2019.0,Q3,9.0,Completed,113,0,10,1,0,0
1.0,2019.0,Q3,9.0,EO Repair Restore Issued,1,0,0,0,0,0
1.0,2019.0,Q3,9.0,NOV Issued,2,0,1,0,0,0
1.0,2019.0,Q3,9.0,Referred to Law,1,0,0,0,0,0
1.0,2019.0,Q3,9.0,Warning,2,0,0,0,0,0
1.0,2019.0,Q4,10.0,Closed,13,0,0,0,0,0
1.0,2019.0,Q4,10.0,Completed,83,0,4,0,0,0
1.0,2019.0,Q4,10.0,EO Repair Restore Issued,1,0,0,0,0,0
1.0,2019.0,Q4,10.0,NOV Issued,1,0,0,0,0,0
1.0,2019.0,Q4,11.0,Citation Issued,1,0,0,0,0,0
1.0,2019.0,Q4,11.0,Closed,12,0,2,0,0,0
1.0,2019.0,Q4,11.0,Completed,62,0,6,0,0,0
1.0,2019.0,Q4,11.0,EO Repair Restore Issued,1,0,0,0,0,0
1.0,2019.0,Q4,11.0,NOV Issued,3,0,1,0,0,0
1.0,2019.0,Q4,11.0,Referred to Law,1,0,0,0,0,0
1.0,2019.0,Q4,11.0,Warning,1,0,0,0,0,0
1.0,2019.0,Q4,12.0,Citation Issued,1,0,0,0,0,0
1.0,2019.0,Q4,12.0,Closed,5,0,1,0,0,0
1.0,2019.0,Q4,12.0,Completed,66,0,9,0,0,0
1.0,2019.0,Q4,12.0,Initiated,2,0,1,0,0,0
1.0,2019.0,Q4,12.0,NOV Issued,2,0,0,0,0,0
1.0,2019.0,Q4,12.0,Under Investigation,1,0,0,0,0,0
1.0,2019.0,Q4,12.0,Warning,4,0,0,0,0,0
1.0,2020.0,Q1,1.0,Closed,3,0,0,0,0,0
1.0,2020.0,Q1,1.0,Completed,52,0,12,0,0,0
1.0,2020.0,Q1,1.0,Initiated,2,0,0,0,0,0
1.0,2020.0,Q1,1.0,NOV Issued,1,0,1,0,0,0
1.0,2020.0,Q1,1.0,Referred to Law,1,0,0,0,0,0
1.0,2020.0,Q1,1.0,Under Investigation,1,0,1,0,0,0
1.0,2020.0,Q1,1.0,Warning,1,0,0,0,0,0
1.0,2020.0,Q1,1.0,Withdrawn,1,0,0,0,0,0
1.0,2020.0,Q1,2.0,Closed,7,0,0,0,0,0
1.0,2020.0,Q1,2.0,Completed,71,0,9,0,0,0
1.0,2020.0,Q1,2.0,EO Repair Restore Issued,1,0,0,0,0,0
1.0,2020.0,Q1,2.0,Initiated,8,0,0,0,0,0
1.0,2020.0,Q1,2.0,NOV Issued,3,0,1,0,0,0
1.0,2020.0,Q1,2.0,Referred to Law,1,0,1,0,0,0
1.0,2020.0,Q1,2.0,Warning,5,0,0,0,0,0
1.0,2020.0,Q1,3.0,Closed,2,0,0,0,0,0
1.0,2020.0,Q1,3.0,Completed,80,0,4,0,0,0
1.0,2020.0,Q1,3.0,Initiated,2,0,0,0,0,0
1.0,2020.0,Q1,3.0,Warning,7,0,0,0,0,0
1.0,2020.0,Q2,4.0,Closed,2,0,0,0,0,0
1.0,2020.0,Q2,4.0,Completed,8,0,0,0,0,0
1.0,2020.0,Q2,5.0,Completed,46,0,5,1,1,0
1.0,2020.0,Q2,5.0,Initiated,1,0,1,1,1,0
1.0,2020.0,Q2,6.0,Citation Issued,5,0,0,0,0,0
1.0,2020.0,Q2,6.0,Closed,2,0,0,0,0,0
1.0,2020.0,Q2,6.0,Completed,69,0,1,0,0,0
1.0,2020.0,Q2,6.0,Initiated,1,0,0,0,0,0
1.0,2020.0,Q2,6.0,Warning,1,0,0,0,0,0
1.0,2020.0,Q3,7.0,Citation Issued,2,0,0,0,0,0
1.0,2020.0,Q3,7.0,Closed,3,0,0,0,0,0
1.0,2020.0,Q3,7.0,Completed,74,0,6,0,0,0
1.0,2020.0,Q3,7.0,Initiated,3,0,0,0,0,0
1.0,2020.0,Q3,7.0,NOV Issued,2,0,2,0,0,0
1.0,2020.0,Q3,7.0,Referred to Law,1,0,0,0,0,0
1.0,2020.0,Q3,7.0,Warning,1,0,0,0,0,0
1.0,2020.0,Q3,8.0,Citation Issued,1,0,0,0,0,0
1.0,2020.0,Q3,8.0,Closed,6,0,2,0,0,0
1.0,2020.0,Q3,8.0,Completed,61,0,5,0,0,0
1.0,2020.0,Q3,8.0,EO Repair Restore Issued,1,0,1,0,0,0
1.0,2020.0,Q3,8.0,EO Vacate Close Issued,1,0,0,0,0,0
1.0,2020.0,Q3,9.0,Closed,4,0,0,0,0,0
1.0,2020.0,Q3,9.0,Completed,69,0,9,0,0,0
1.0,2020.0,Q3,9.0,Referred to Law,1,0,0,0,0,0
1.0,2020.0,Q3,9.0,Under Investigation,1,0,0,0,0,0
1.0,2020.0,Q4,10.0,Closed,4,0,0,0,0,0
1.0,2020.0,Q4,10.0,Completed,65,0,11,0,0,0
1.0,2020.0,Q4,10.0,Initiated,1,0,0,0,0,0
1.0,2020.0,Q4,10.0,NOV Issued,1,0,0,0,0,0
1.0,2020.0,Q4,11.0,Closed,5,0,0,0,0,0
1.0,2020.0,Q4,11.0,Completed,45,0,6,0,0,0
1.0,2020.0,Q4,12.0,Closed,3,0,0,0,0,0
1.0,2020.0,Q4,12.0,Completed,42,0,4,0,0,0
1.0,2021.0,Q1,1.0,Closed,5,0,1,0,0,0
1.0,2021.0,Q1,1.0,Completed,51,0,13,0,0,0
1.0,2021.0,Q1,2.0,Closed,3,0,0,0,0,0
1.0,2021.0,Q1,2.0,Completed,49,0,5,0,0,0
1.0,2021.0,Q1,3.0,Closed,2,0,0,0,0,0
1.0,2021.0,Q1,3.0,Completed,65,0,11,0,0,0
1.0,2021.0,Q1,3.0,Initiated,1,0,1,0,0,0
1.0,2021.0,Q1,3.0,Referred to Law,1,0,1,0,0,0
1.0,2021.0,Q2,4.0,Closed,6,0,2,0,0,0
1.0,2021.0,Q2,4.0,Completed,59,0,7,0,0,0
1.0,2021.0,Q2,4.0,NOV Issued,1,0,1,0,0,0
1.0,2021.0,Q2,5.0,Closed,1,0,0,0,0,0
1.0,2021.0,Q2,5.0,Completed,42,0,9,0,0,0
1.0,2021.0,Q2,6.0,Completed,41,0,4,0,0,0
1.0,2021.0,Q2,6.0,Warning,1,0,1,0,0,0
1.0,2021.0,Q3,7.0,Closed,9,0,2,0,0,0
1.0,2021.0,Q3,7.0,Completed,56,0,7,0,0,0
1.0,2021.0,Q3,7.0,Warning,1,0,1,0,0,0
1.0,2021.0,Q3,8.0,Closed,3,0,0,0,0,0
1.0,2021.0,Q3,8.0,Completed,36,0,15,0,0,0
1.0,2021.0,Q3,8.0,Initiated,1,0,0,0,0,0
1.0,2021.0,Q3,8.0,NOV Issued,1,0,1,0,0,0
1.0,2021.0,Q3,8.0,Warning,1,0,1,0,0,0
1.0,2021.0,Q3,9.0,Closed,2,0,1,0,0,0
1.0,2021.0,Q3,9.0,Completed,85,0,4,0,0,0
1.0,2021.0,Q3,9.0,Initiated,1,0,1,0,0,0
